Country,totalmerchandisevolume,gdpPerCapita
Afghanistan,864,519.1861
Albania,2716,5990.3938
Algeria,35824,4326.997
Angola,34726,2841.6075
Anguilla,12,22327.2124
Antigua and Barbuda,38,18322.5127
Argentina,65116,11300.1571
Armenia,2640,4672.3068
Aruba,131,27536.286
Australia,271005,57447.1711
Austria,178670,53264.8758
Azerbaijan,19636,4639.2853
Bahamas,669,34541.5746
Bahrain,18120,23283.8146
Bangladesh,39337,2064.1719
Barbados,444,18556.8157
Belarus,32960,6742.0238
Belgium,446944,47607.0736
Belize,462,5114.6663
Benin,3052,974.1355
Bermuda,19,98684.8285
Bhutan,674,3768.4415
Bolivia,8757,3976.3575
Bosnia and Herzegovina,6578,6539.9793
Botswana,5237,8707.0929
Brazil,225383,9638.1461
Brunei Darussalam,7039,32344.2016
Bulgaria,33340,10403.0021
Burkina Faso,3239,756.6603
Burundi,180,303.0493
Cambodia,14825,1729.508
Cameroon,4084,1544.4678
Canada,446585,48137.4033
Cape Verde,62,3929.5388
Cayman Islands,50,57808.3316
Central African Republic,147,505.0833
Chad,3205,741.7683
Chile,68763,16320.7947
China,2499457,10710.3777
Colombia,39489,6881.97
Comoros,39,870.0536
Cook Islands,17,16521.1611
Costa Rica,11712,12348.581
Croatia,17180,15824.4789
Cuba,2062,7924.7767
Cyprus,3453,21675.1784
Czech Republic,199128,24218.8137
Denmark,110779,62708.9821
Djibouti,3996,2593.3284
Dominica,18,8175.4819
Dominican Republic,11193,8258.3032
DR Congo,13382,568.0465
Ecuador,22329,6022.3132
Egypt,28993,3178.2593
El Salvador,5905,4326.4561
Equatorial Guinea,5300,8457.848
Eritrea,768,2253.5261
Estonia,16110,25079.5172
Eswatini,2002,4104.5343
Ethiopia,2741,843.0114
Fiji,1033,6280.831
Finland,73468,52131.2604
France,570951,43958.7034
French Polynesia,136,19176.4915
Gabon,6620,7851.8535
Georgia,3798,4746.0089
Germany,1489412,49548.2308
Ghana,15668,2277.3133
Greece,37907,22225.9849
Greenland,826,40137.9799
Grenada,32,11767.7246
Guatemala,11175,4801.6259
Guinea,3945,1007.8354
Guinea-Bissau,249,828.0848
Guyana,1567,5831.7707
Haiti,1200,835.9265
Honduras,8788,2540.0003
Hong Kong,534887,53229.7251
Hungary,123796,18448.3054
Iceland,5223,78114.9429
India,324340,2337.9495
Indonesia,167683,4374.1938
Iran,65718,5829.7217
Iraq,82309,5996.5007
Ireland,169625,81314.9834
Israel,58507,45958.0645
Italy,537718,34628.7455
Ivory Coast,12629,1843.8192
Jamaica,1586,5622.0642
Japan,705564,43596.8659
Jordan,8317,4523.4108
Kazakhstan,57309,9335.2121
Kenya,5839,1984.4433
Kiribati,12,1614.6039
Kuwait,64483,33036.2362
Kyrgyzstan,1986,1324.7629
Laos,5806,2983.0508
Latvia,15705,20408.7754
Lebanon,4829,8955.3394
Lesotho,1063,1339.46
Liberia,543,621.0181
Libya,25732,7246.356
Lithuania,33151,21414.4815
Luxembourg,16451,116085.9716
Macau,1586,94408.5153
Madagascar,2696,476.3726
Malawi,913,400.098
Malaysia,238195,12264.5418
Maldives,361,11429.0024
Mali,3675,926.9393
Malta,3007,36898.3522
Marshall Islands,55,3824.8616
Mauritania,2266,1193.0593
Mauritius,2223,12373.6388
Mexico,460704,9962.5973
Micronesia,49,3346.1214
Moldova,2779,3179.1599
Mongolia,7620,4493.4519
Montenegro,465,9139.3561
Montserrat,6,12467.6261
Morocco,29132,3455.7962
Mozambique,4669,506.6062
Myanmar,17997,1302.8315
Namibia,6256,5653.2877
Nauru,19,10757.6315
Nepal,968,1113.2296
Netherlands,708596,55606.2129
New Caledonia,1700,32772.8138
New Zealand,39517,46278.4451
Nicaragua,5273,1858.8905
Niger,1126,422.9071
Nigeria,62531,2346.8323
North Korea,280,648.5331
North Macedonia,7189,6578.1324
Norway,102799,80251.133
Oman,38724,16111.8051
Pakistan,23329,1254.4675
Palau,4,17832.572
Panama,11318,17229.8617
Papua New Guinea,11399,2425.0439
Paraguay,7652,6285.0797
Peru,47690,7319.1625
Philippines,70927,3503.4562
Poland,266595,17019.1792
Portugal,67063,24578.4661
Qatar,72935,69614.7588
Romania,76867,13756.5929
Russian Federation,419850,11427.845
Rwanda,1241,833.2007
Saint Kitts and Nevis,58,20880.0239
Saint Lucia,82,11220.1735
Saint Vincent and the Grenadines,38,8115.9056
Samoa,49,4796.4267
Sao Tomé and Principe,13,2359.3353
Saudi Arabia,261603,22355.5951
Senegal,4179,1631.8626
Serbia,19630,6540.4625
Seychelles,518,17581.9954
Sierra Leone,619,518.4648
Singapore,390763,66456.82
Slovakia,89509,21498.8094
Slovenia,44943,28004.1987
Solomon Islands,461,2282.6834
South Africa,90016,6440.942
South Korea,542233,33999.6818
Spain,334018,32026.3789
Sri Lanka,11940,4183.8723
Sudan,3735,1845.66
Suriname,2127,6622.1697
Sweden,160576,56762.8353
Switzerland,313934,84986.8063
Syria,507,1212.7072
Tanzania,5005,1055.1162
Thailand,246269,7825.9378
Timor-Leste,154,2539.6745
Togo,1055,723.2625
Tonga,20,4795.8037
Trinidad and Tobago,7192,16556.5155
Tunisia,14933,2944.9304
Turkey,180833,9519.3901
Turkmenistan,9695,9326.5297
Turks and Caicos Islands,3,23388.4044
Tuvalu,0,4442.2094
Uganda,3477,713.444
Ukraine,50066,3385.801
United Arab Emirates,389373,44953.0577
United Kingdom,469684,42914.5839
United States,1643161,66678.0263
Uruguay,7680,18197.4899
Uzbekistan,14024,1634.9124
Vanuatu,56,3160.9342
Venezuela,17210,2442.2962
Vietnam,264268,2876.3915
Yemen,1435,1029.3323
Zambia,7047,1335.6834
Zimbabwe,4269,1710.2907
